01.12.2025 14:52:25.38 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:25.49 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:25.49 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:25.60 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:25.60 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:25.71 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:25.71 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:25.82 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:25.82 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:25.93 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:25.93 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:26.04 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:26.04 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:26.15 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:26.15 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:26.26 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:26.26 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:26.36 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:26.36 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:26.47 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:26.48 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:26.58 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:26.58 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:26.69 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:53:34.78 FC16 (Write multiple Registers to Server device), StartingAddress: 144, Values: 0 16256 
01.12.2025 14:54:01.60 FC16 (Write multiple Registers to Server device), StartingAddress: 144, Values: 0 0 
01.12.2025 14:54:09.56 FC16 (Write multiple Registers to Server device), StartingAddress: 148, Values: 0 16256 
01.12.2025 14:54:25.40 FC16 (Write multiple Registers to Server device), StartingAddress: 148, Values: 0 0 
01.12.2025 14:54:28.57 Disconnect
01.12.2025 14:54:39.44 Open TCP-Socket, IP-Address: 192.168.2.100, Port: 502
01.12.2025 14:54:48.92 Open TCP-Socket, IP-Address: 192.168.100.1, Port: 502
01.12.2025 14:54:57.14 Disconnect
